[2026-06-28 10:12:48] [7750.2859] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Io(Os { code: 10054, kind: ConnectionReset, message: \"Удаленный хост принудительно разорвал существующее подключение.\" })) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://ws.warframe.market/socket"}
[2026-06-28 10:12:54] [7755.8047] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://ws.warframe.market/socket"}
[2026-06-28 11:01:16] [10657.9609] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Io(Os { code: 10054, kind: ConnectionReset, message: \"Удаленный хост принудительно разорвал существующее подключение.\" })) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://ws.warframe.market/socket"}
[2026-06-28 11:01:21] [10663.3437] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://ws.warframe.market/socket"}
[2026-06-28 11:01:49] [10690.8031] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Io(Os { code: 10054, kind: ConnectionReset, message: \"Удаленный хост принудительно разорвал существующее подключение.\" })) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 11:01:54] [10696.0968] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 13:21:31] [19072.7777] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 13:21:36] [19078.1634] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 13:57:36] [21238.1402] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 13:57:47] [21249.2158] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 13:58:48] [21309.9044] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:00:54] [21436.2643] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:02:59] [21561.5704] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:04:05] [21626.8404] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:05:10] [21692.1145] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:07:20] [21822.3786] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:09:29] [21950.7442] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:11:39] [22080.9597] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:12:44] [22146.2986] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:13:50] [22211.6286] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:14:55] [22276.9486] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:17:05] [22407.2465] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:18:10] [22472.5634] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:19:16] [22537.8196] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:21:26] [22668.1023] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:22:31] [22733.3894] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:24:41] [22863.6015] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:25:47] [22928.8250] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:26:52] [22994.0832] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:27:57] [23059.3813] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:30:03] [23184.7009] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:32:08] [23310.0176] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:33:13] [23375.3154] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:35:24] [23505.6398] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:37:34] [23635.9269] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:38:39] [23701.1652] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:40:45] [23827.5048] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:41:51] [23892.8255] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:43:56] [24018.1162] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
